City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,albany,42.6,-73.97,69.01,70,89,6.55,US,1590463659
87,camiri,-20.05,-63.52,55.04,56,0,2.19,BO,1590463659
88,cururupu,-1.83,-44.87,75.2,94,9,2.46,BR,1590463659
89,padang,-0.95,100.35,79.92,78,99,6.06,ID,1590463659
90,adrar,20.5,-10.07,79.29,24,1,2.66,MR,1590463660
91,yumen,40.28,97.2,61.57,41,94,21.07,CN,1590463660
92,ujiie,36.68,139.97,80.01,60,75,8.05,JP,1590463660
93,tiksi,71.69,128.87,34.74,95,100,14.47,RU,1590463660
94,tuatapere,-46.13,167.68,53.51,75,58,1.99,NZ,1590463660
95,sangin,32.07,64.84,81.72,17,0,4.72,AF,1590463661
96,irbeyskoye,55.64,95.45,64.76,66,100,13.15,RU,1590463661
97,castro,-24.79,-50.01,44.26,85,0,6.87,BR,1590463661
98,mataura,-46.19,168.86,52.54,75,56,2.77,NZ,1590463661
99,nikolskoye,59.7,30.79,46.99,70,30,6.71,RU,1590463661
100,tevaitoa,-16.78,-151.5,83.39,75,99,11.68,PF,1590463662
101,bathsheba,13.22,-59.52,80.6,78,40,14.99,BB,1590463662
102,clyde river,70.47,-68.59,23.0,92,90,10.29,CA,1590463662
103,the valley,18.22,-63.06,82.4,74,20,11.41,AI,1590463662
104,virginia beach,36.85,-75.98,62.01,93,90,4.7,US,1590463413
105,severo-kurilsk,50.68,156.12,40.84,85,93,10.83,RU,1590463663
106,bredasdorp,-34.53,20.04,50.0,71,94,12.75,ZA,1590463663
107,fredericksburg,38.3,-77.46,63.0,100,1,3.47,US,1590463558
108,mehamn,71.04,27.85,42.8,70,13,6.93,NO,1590463663
109,jamestown,42.1,-79.24,69.8,73,1,3.36,US,1590463374
110,kapaa,22.08,-159.32,79.0,74,90,8.05,US,1590463664
111,ovre ardal,61.32,7.8,38.01,75,100,2.57,NO,1590463664
112,myronivka,49.66,30.98,49.91,95,100,7.34,UA,1590463664
113,provideniya,64.38,-173.3,39.2,86,40,13.42,RU,1590463665
114,norman wells,65.28,-126.83,64.4,42,75,9.17,CA,1590463456
115,vanimo,-2.67,141.3,86.95,65,76,6.08,PG,1590463665
116,lebu,-37.62,-73.65,55.09,78,0,5.97,CL,1590463665
117,hasaki,35.73,140.83,75.0,69,75,9.17,JP,1590463666
118,wolgast,54.05,13.77,45.0,84,16,0.74,DE,1590463666
119,sojitra,22.55,72.72,87.8,66,1,9.17,IN,1590463666
120,sola,-13.88,167.55,86.0,79,75,11.41,VU,1590463666
121,leningradskiy,69.38,178.42,31.77,97,100,3.33,RU,1590463666
122,jumla,29.27,82.18,70.12,24,24,3.36,NP,1590463609
123,port hardy,50.7,-127.42,53.6,71,75,10.29,CA,1590463667
124,romny,50.75,33.47,50.09,95,100,6.8,UA,1590463667
125,kahului,20.89,-156.47,87.8,48,40,13.87,US,1590463432
126,dana point,33.47,-117.7,70.0,82,0,5.23,US,1590463667
127,narsaq,60.92,-46.05,35.6,80,100,14.99,GL,1590463668
128,carlisle,40.2,-77.19,63.0,89,0,3.06,US,1590463599
129,bambous virieux,-20.34,57.76,75.0,73,75,13.87,MU,1590463668
130,sitka,57.05,-135.33,48.2,76,90,9.17,US,1590463668
131,hurricane,37.18,-113.29,80.6,10,1,14.99,US,1590463669
132,bacungan,9.91,118.7,91.4,59,20,6.93,PH,1590463669
133,cardston,49.2,-113.3,57.2,62,90,16.11,CA,1590463669
134,barabai,-2.58,115.38,91.92,57,62,1.61,ID,1590463669
135,zeya,53.75,127.27,72.91,23,0,5.68,RU,1590463670
136,sobolevo,54.43,31.9,45.9,87,56,6.6,RU,1590463670
137,tupik,54.43,119.93,69.66,32,0,3.98,RU,1590463670
138,hamilton,39.18,-84.53,75.2,94,1,3.33,US,1590463671
139,gat,31.61,34.76,62.01,67,0,3.36,IL,1590463671
140,acapulco,16.86,-99.89,77.0,88,75,11.41,MX,1590463423
141,labytnangi,66.66,66.42,41.45,65,0,2.84,RU,1590463672
142,moree,-29.47,149.85,68.0,52,0,7.81,AU,1590463672
143,santa rosa,14.31,121.11,93.0,70,40,6.93,PH,1590463673
144,kudahuvadhoo,2.67,72.89,83.91,77,100,14.34,MV,1590463673
145,kirkland lake,48.14,-80.04,69.8,73,1,11.41,CA,1590463673
146,vila franca do campo,37.72,-25.43,64.4,82,20,11.41,PT,1590463674
147,hit,33.64,42.83,71.67,31,0,6.76,IQ,1590463674
148,lucapa,-8.42,20.74,66.34,62,0,1.23,AO,1590463674
149,longyearbyen,78.22,15.64,41.0,75,75,2.24,SJ,1590463674
150,waipawa,-41.41,175.52,55.0,63,95,1.01,NZ,1590463675
151,regidor,8.67,-73.82,79.66,90,100,1.36,CO,1590463675
152,roma,43.21,-75.46,71.6,73,20,6.93,US,1590463675
153,sherpur,25.02,90.02,82.94,78,100,13.35,BD,1590463675
154,east london,-33.02,27.91,58.71,48,0,29.28,ZA,1590463676
155,corn island,12.17,-83.04,84.06,82,93,9.19,NI,1590463676
156,saskylakh,71.92,114.08,39.45,82,100,13.33,RU,1590463676
157,piacabucu,-10.41,-36.43,76.82,90,74,7.67,BR,1590463676
158,chokurdakh,70.63,147.92,45.01,63,97,3.15,RU,1590463677
159,yafran,32.06,12.53,65.39,39,47,2.89,LY,1590463677
160,kamen-rybolov,44.75,132.04,60.12,57,52,9.75,RU,1590463677
161,iqaluit,63.75,-68.51,30.2,74,75,10.29,CA,1590463677
162,talaya,61.38,152.75,40.82,64,27,4.59,RU,1590463677
163,itoman,26.12,127.67,82.4,74,40,9.17,JP,1590463678
164,hornepayne,49.21,-84.77,61.0,92,100,4.79,CA,1590463678
165,ritchie,-29.04,24.6,42.8,60,40,10.29,ZA,1590463678
166,suntar,62.14,117.63,76.23,29,23,15.77,RU,1590463678
167,gazli,40.13,63.45,90.99,14,0,7.99,UZ,1590463679
168,sao filipe,14.9,-24.5,73.67,71,63,8.68,CV,1590463679
169,auki,-8.77,160.7,87.46,65,38,4.5,SB,1590463679
170,talnakh,69.49,88.4,33.8,100,75,13.42,RU,1590463679
171,bonavista,48.65,-53.11,48.0,57,13,17.0,CA,1590463680
172,nome,64.5,-165.41,44.6,81,1,8.05,US,1590463680
173,krasnyye baki,57.13,45.16,48.65,82,9,1.97,RU,1590463680
174,holland,42.79,-86.11,73.0,78,1,3.36,US,1590463411
175,miandrivazo,-19.52,45.47,67.55,84,0,1.05,MG,1590463680
176,sorland,67.67,12.69,46.63,79,100,22.44,NO,1590463681
177,pangnirtung,66.15,-65.71,28.45,91,100,5.64,CA,1590463681
178,lompoc,34.64,-120.46,70.0,63,1,5.82,US,1590463580
179,bolivar,37.61,-93.41,68.0,94,100,11.99,US,1590463681
180,wuwei,37.93,102.64,66.0,41,100,1.01,CN,1590463681
181,flin flon,54.77,-101.86,56.55,85,100,6.42,CA,1590463682
182,seoul,37.57,126.98,75.2,64,75,3.36,KR,1590463609
183,kribi,2.95,9.92,76.73,89,100,2.91,CM,1590463682
